Name,Release_Year,Genres,Review_Score,Avg_Main_Story,Avg_Main_+_Extras,Avg_Completionist,Avg_All_PlayStyles,Speedrun_Avg,Speedrun_Fastest,Speedrun_Slowest,Primary_Genre
Borderlands 2,2012.0,"First-Person, Action, Role-Playing, Shooter",82,30.3,58.42,138.45,58.6,6.43,2.88,12.17,Shooter
Doom,2016.0,"First-Person, Shooter",85,11.9,17.05,27.85,15.57,2.55,0.58,3.83,Shooter
The Elder Scrolls V: Skyrim - Special Edition,2013.0,"First-Person, Third-Person, Action, Open World, Role-Playing",87,26.28,123.27,224.72,131.33,,,,Action
Stardew Valley,2016.0,"Role-Playing, Simulation",87,52.62,94.28,165.57,95.82,,,,Role-Playing
Fire Emblem Engage,2023.0,"Turn-Based, Role-Playing, Strategy/Tactical",81,37.32,51.22,75.98,47.33,,,,Turn-Based
BioShock Infinite,2013.0,"First-Person, Action, Shooter",85,11.78,16.45,29.55,14.63,5.42,2.25,10.0,Shooter
Persona 5 Royal,2019.0,"Third-Person, Turn-Based, Role-Playing, Simulation",95,103.48,125.42,145.92,126.32,,,,Turn-Based
Grand Theft Auto V,2013.0,"First-Person, Third-Person, Action, Open World, Racing/Driving, Shooter",87,32.42,51.78,85.32,47.92,12.2,5.37,29.0,Shooter
Tomb Raider,2013.0,"Third-Person, Action, Adventure, Platform, Shooter",81,11.62,15.88,21.47,14.98,3.8,3.5,4.08,Adventure
BioShock,2007.0,"First-Person, Action, Horror, Shooter",85,12.2,16.2,23.37,14.87,3.67,0.9,6.33,Horror
Hades,2020.0,"Action, Roguelike, Role-Playing",90,23.3,50.57,97.42,46.13,0.38,0.2,0.58,Action
Red Dead Redemption 2,2018.0,"Third-Person, Action, Adventure, Open World, Shooter",93,49.9,84.95,184.75,82.62,14.07,12.98,14.87,Adventure
Portal,2007.0,"First-Person, Platform, Puzzle",86,3.23,5.37,10.35,4.23,0.78,0.1,2.97,Platform
Hollow Knight,2017.0,"Action, Adventure",91,27.97,42.17,65.13,43.15,2.92,0.67,6.77,Adventure
Portal 2,2011.0,"First-Person, Platform, Puzzle",91,8.87,14.37,22.7,11.45,3.22,1.13,7.5,Platform
Cyberpunk 2077,2020.0,"First-Person, Action, Role-Playing, Shooter",78,24.7,62.13,106.45,65.42,9.72,7.68,12.0,Shooter
God of War: Ragnarök,2022.0,"Third-Person, Action, Adventure, Hack and Slash",92,26.02,39.22,53.48,42.58,,,,Adventure
Star Wars Jedi: Fallen Order,2019.0,"Third-Person, Action, Adventure, Platform",81,17.27,22.4,31.97,22.6,,,,Adventure
The Witcher 3: Wild Hunt,2015.0,"Third-Person, Action, Open World, Role-Playing",94,52.57,106.23,180.32,108.17,16.8,3.15,30.0,Action
God of War,2018.0,"Third-Person, Action, Adventure, Hack and Slash",92,21.07,33.3,51.95,34.22,9.17,9.17,9.17,Adventure
Hi-Fi Rush,2023.0,"Third-Person, Action, Music/Rhythm",89,10.68,12.77,,11.47,,,,Action
Elden Ring,2022.0,"Third-Person, Action, Open World, Role-Playing",93,54.3,102.85,137.23,110.32,3.52,1.6,8.5,Action
ABZÛ,2016.0,Adventure,75,1.93,2.53,4.07,2.42,1.12,0.82,1.42,Adventure
A Hat in Time,2017.0,"Third-Person, Action, Adventure, Platform",83,9.67,15.33,19.33,14.57,1.52,0.92,2.77,Adventure
