Name,Release_Year,Genres,Review_Score,Avg_Main_Story,Avg_Main_+_Extras,Avg_Completionist,Avg_All_PlayStyles,Speedrun_Avg,Speedrun_Fastest,Speedrun_Slowest,Primary_Genre
EMMA - The Story,2018.0,,50,0.33,,0.3,0.32,,,,
YamYam,1995.0,"Scrolling, Shooter",0,,,,,,,,Shooter
Nightmare Adventures: The Witch's Prison,2016.0,Hidden Object,0,,,,,,,,Hidden Object
Castle Conqueror: Heroes 2,2012.0,,0,,,,,,,,
Pushover,,Platform,65,10.67,,,10.67,,,,Platform
Disney's Aladdin in Nasira's Revenge,2000.0,"Third-Person, Adventure, Platform",60,10.0,11.0,18.75,14.75,,,,Adventure
Gradius IV,1999.0,"Scrolling, Shooter",70,0.92,,3.87,2.38,,,,Shooter
Mochi A Girl,2019.0,"Action, Platform",0,,,,,,,,Action
Rogue Ops,2003.0,Stealth,0,8.0,9.0,,8.5,,,,Stealth
Gate of Thunder,1992.0,"Side, Scrolling, Shooter",79,1.2,0.93,,1.17,,,,Shooter
SuperTuxKart,2007.0,"Third-Person, Arcade, Racing/Driving, Vehicular Combat",70,,,15.0,15.0,,,,Arcade
Factotum 90,2016.0,,0,,,5.02,5.02,,,,
Buzz! Junior: Dino Den,2008.0,Trivia,0,,,,,,,,Trivia
Super Rad Raygun,2016.0,"Action, Adventure",50,6.9,5.4,,5.78,,,,Adventure
Yojimbrawl,,,0,,,,,,,,
SPACE / MECH / PILOT,2020.0,Incremental,0,27.83,,,27.83,,,,Incremental
Puzzle Star Sweep,2001.0,Puzzle,70,0.72,,,0.72,,,,Puzzle
Afro Samurai 2: Revenge of Kuma,2015.0,,10,1.88,,,1.88,,,,
Victory Command,2015.0,Moba,0,,,,,,,,Moba
Stilstand,2020.0,Point-and-Click,65,0.72,0.72,0.75,0.73,,,,Point-and-Click
Into a Dream,2020.0,Adventure,57,4.25,,3.57,3.8,,,,Adventure
Firefighter F.D.18,2004.0,"Third-Person, Action",77,7.0,13.0,,10.0,,,,Action
Colin McRae Rally 3,2002.0,Racing/Driving,76,8.33,10.67,14.3,10.3,,,,Racing/Driving
Big Money!,2002.0,Puzzle,60,0.45,0.47,0.73,0.62,,,,Puzzle
Object N,2021.0,"First-Person, Action, Shooter",0,,,,,,,,Shooter
Cinderella,2006.0,Adventure,0,,,,,,,,Adventure
Vilmonic,2016.0,Simulation,30,,,,,,,,Simulation
Star Fetchers: Pilot,2020.0,,75,0.85,1.12,1.13,0.97,,,,
Overcooked 2: Winter Wonderland,,,85,2.13,1.57,,1.75,,,,
BloodRealm: Battlegrounds,2015.0,"Card Game, Strategy",0,,,,,,,,Card Game
Overcooked 2: Chinese New Year,,,85,0.77,0.92,,0.83,,,,
Lost in Blue 3,2007.0,Adventure,75,,,,,,,,Adventure
Pixel Worlds,2017.0,Adventure,45,,,,,,,,Adventure
Casual Birder,2022.0,Adventure,72,1.92,,2.52,2.22,,,,Adventure
Cupid Nonogram,2021.0,Puzzle,77,,,7.83,7.83,,,,Puzzle
Guilt Free,2020.0,"Point-and-Click, Adventure",70,0.63,,,0.63,,,,Adventure
Overcooked 2: Kevin's Christmas Cracker,,,90,1.45,0.92,,1.18,,,,
VeggieTales: LarryBoy and the Bad Apple,2006.0,,0,3.5,,,3.5,,,,
Dead or Alive 4,2005.0,Fighting,72,3.97,11.02,131.07,18.63,,,,Fighting
Cars: Race-O-Rama,2009.0,,53,4.4,7.0,8.5,7.35,,,,
SpongeBob: Get Cooking,2022.0,"Side, Incremental, Management",0,,,,,,,,Incremental
In the Shadows,2017.0,"Adventure, Puzzle",70,4.0,3.25,,3.5,,,,Adventure
Hellcoming,2021.0,"Horror, Survival",0,,,,,,,,Horror
Countess in Crimson,2022.0,Visual Novel,80,,2.25,7.15,4.7,,,,Visual Novel
The Slaughter: Act One,2016.0,Adventure,80,2.47,,3.7,2.87,,,,Adventure
100 Hidden Eternals,2020.0,Hidden Object,54,,,0.3,0.3,,,,Hidden Object
Loot Hunter,2015.0,"Action, Adventure, Strategy",50,6.0,3.17,41.0,16.72,,,,Adventure
Grey,,"Action, Survival Horror",68,2.42,,,2.42,,,,Horror
Guns'n'Stories: Bulletproof VR,2018.0,"Virtual Reality, Shooter",75,,,,,,,,Shooter
Phase Shift,2019.0,,80,3.0,,,3.0,,,,
Lords of the Fallen: Ancient Labyrinth DLC,2015.0,,58,1.57,3.0,2.67,2.22,,,,
Ben 10 Alien Force: Vilgax Attacks,2009.0,Action,69,6.32,5.65,6.42,6.27,,,,Action
The Walking Dead - Episode 3: Long Road Ahead,2012.0,"Third-Person, Point-and-Click, Action, Adventure",85,2.57,2.68,2.67,2.6,,,,Adventure
Secret Agent Clank,2008.0,"Action-adventure, Platformer",64,7.47,8.95,13.45,8.52,,,,Action-adventure
Nora to Toki no Koubou: Kiri no Mori no Majo,2011.0,Role-Playing,70,5.68,,,5.68,,,,Role-Playing
K.O. King,2006.0,Sports,0,,,,,,,,Sports
20 Minute Metropolis,,City-Building,43,0.38,,0.37,0.38,,,,City-Building
A2Be,2017.0,,28,0.53,,,0.53,,,,
Demon Hunter 3: Revelation,2016.0,Hidden Object,63,2.88,3.23,3.25,3.15,,,,Hidden Object
Riddles of the Owls' Kingdom. Magic Wings,2019.0,Puzzle,0,,,,,,,,Puzzle
Mystical Riddles: Snowy Peak Hotel,2021.0,Hidden Object,0,,,,,,,,Hidden Object
Kick Ass Commandos,2015.0,"Top-Down, Action",80,3.7,6.37,,4.58,,,,Action
Noosphere,2021.0,"First-Person, Horror, Puzzle",50,2.25,3.0,,2.43,,,,Horror
Iwaihime,2020.0,Visual Novel,70,10.93,12.1,18.48,15.58,,,,Visual Novel
Age of Pirates: Caribbean Tales,2006.0,Role-Playing,70,9.0,,,9.0,,,,Role-Playing
Pitfall: Beyond the Jungle (Game Boy),,Platform,50,,,,,,,,Platform
Street Fighter Alpha Anthology,2006.0,Fighting,88,8.35,9.0,,8.52,,,,Fighting
GRAPPIN,,Action,0,,,,,,,,Action
Penny-Punching Princess,2018.0,"Top-Down, Action",70,13.08,19.0,,15.05,,,,Action
Endless Night,2016.0,Virtual Reality,0,,,,,,,,Virtual Reality
Dog's Donuts,2021.0,,0,,,,,,,,
Loopers,2021.0,Visual Novel,74,5.0,,5.67,5.6,,,,Visual Novel
The Nine Lives of Nim: Fortune's Fool,2019.0,Visual Novel,60,1.13,,,1.13,,,,Visual Novel
Mystery Case Files: The Malgrave Incident,2011.0,"Adventure, Hidden Object, Puzzle",58,8.28,7.0,,7.63,,,,Adventure
"House of 1,000 Doors: Family Secrets",2014.0,Hidden Object,70,3.08,5.65,5.37,5.12,,,,Hidden Object
ARMED SEVEN,2013.0,"Side, Scrolling, Action, Shooter",65,0.7,,,0.7,,,,Shooter
The Story of Henry Bishop,2019.0,Adventure,60,2.27,2.5,2.52,2.4,,,,Adventure
Brandish,1991.0,"Top-Down, Real-Time, Role-Playing",78,22.35,19.98,14.32,18.88,,,,Top-Down
Coaster Combat,,,60,,3.0,,3.0,,,,
Pear Quest,2020.0,Adventure,0,0.6,,,0.6,,,,Adventure
Moorhuhn Kart 3,2007.0,"Third-Person, Racing/Driving",50,,,,,,,,Racing/Driving
Neopets,1999.0,"Action, Adventure, Battle Arena, Board Game, Card Game, Compilation, Fighting, Interactive Art, Moba, Party, Platform, Simulation, Tower Defense",85,,,,,,,,Adventure
Navy SEALS,,Platform,50,1.0,,,1.0,,,,Platform
Anthophobia,2015.0,,30,,,,,,,,
A Place for the Unwilling,2019.0,Adventure,55,12.62,,,12.62,,,,Adventure
Grim Guardians: Demon Purge,2023.0,"Action, Platform",0,,,,,,,,Action
Busin 0: Wizardry Alternative Neo,2003.0,"First-Person, Turn-Based, Role-Playing",70,73.0,,,73.0,,,,Turn-Based
World Rally Championship,2001.0,Racing/Driving,67,5.48,,11.93,6.77,,,,Racing/Driving
Monster Jam: Urban Assault,2008.0,Racing/Driving,42,,2.42,2.5,2.45,,,,Racing/Driving
Vegas Stakes,,Card Game,67,2.52,,,2.52,,,,Card Game
Gauntlet: Seven Sorrows,2005.0,"Action, Role-Playing",62,8.98,,7.25,8.6,,,,Action
JermaSlots,2019.0,,48,1.38,,0.87,1.03,,,,
My Name is Addiction,2012.0,"Text, Adventure",60,1.33,1.08,,1.28,,,,Adventure
Smashing the Battle,2016.0,Hack and Slash,62,7.08,9.0,11.83,8.03,,,,Hack and Slash
White Hell,2021.0,"First-Person, Shooter",0,,,,,,,,Shooter
To the Moon: Holiday Minisode 2,2015.0,"Adventure, Visual Novel",75,0.48,0.53,0.48,0.48,,,,Adventure
The Tomorrow War,2009.0,"Flight Combat, Simulation",60,,,9.0,9.0,,,,Flight Combat
Mata Nui Online Game,,"Point-and-Click, Adventure",90,3.03,,4.0,3.23,,,,Adventure
Hot Wheels: Beat That!,2007.0,Racing/Driving,55,15.0,22.5,20.0,20.0,,,,Racing/Driving
The Walking Dead - Episode 5: No Time Left,2012.0,"Third-Person, Point-and-Click, Action, Adventure",90,1.63,1.63,1.77,1.67,,,,Adventure
Heavenly Guardian,2007.0,"Top-Down, Shooter",53,3.93,8.5,,5.45,,,,Shooter
Tales of Zestiria - Bonus Chapter: Alisha's Conviction,,"Third-Person, Action, Role-Playing",53,3.45,3.18,3.37,3.37,,,,Action
Victory At Sea,2014.0,Simulation,70,10.0,,,10.0,,,,Simulation
Highlands,2015.0,"Turn-Based, Role-Playing, Strategy",50,6.33,10.03,10.77,8.82,,,,Turn-Based
World Heroes Perfect,1995.0,Fighting,63,0.9,5.18,0.65,1.82,0.4,0.4,0.4,Fighting
The Walking Dead - Episode 4: Around Every Corner,2012.0,"Third-Person, Point-and-Click, Action, Adventure",85,2.72,2.9,2.73,2.75,,,,Adventure
Willy Jetman: Astromonkey's Revenge,2020.0,"Arcade, Shooter",77,13.3,9.18,,12.27,,,,Shooter
Brave Prove,1998.0,Action,50,,23.9,,23.9,,,,Action
Dark Reign Expansion: Rise of the Shadowhand,1998.0,Strategy/Tactical,0,,,,,,,,Strategy/Tactical
Life After Death,2022.0,"First-Person, Adventure",80,1.53,1.95,1.75,1.7,,,,Adventure
Blue-Collar Astronaut,2017.0,Racing/Driving,0,,,,,,,,Racing/Driving
Rocket Fist,2016.0,,10,,,,,,,,
Super Sami Roll,2021.0,,67,4.73,7.33,14.0,7.18,,,,
Assassin's Creed: Identity,2016.0,"Action, Adventure, Stealth",52,4.15,20.0,100.0,16.57,,,,Adventure
Dohna Dohna: Let's Do Bad Things Together,2020.0,"Role-Playing, Simulation, Visual Novel",80,36.95,53.28,87.4,55.2,,,,Role-Playing
Volo Airsport,2014.0,"Virtual Reality, Simulation",0,,,,,,,,Virtual Reality
Kidnapped Girl,2020.0,Visual Novel,49,0.45,,0.72,0.65,,,,Visual Novel
Curious George,2006.0,"Action, Adventure",50,2.83,4.92,5.0,3.68,,,,Adventure
Cyber Protocol,2019.0,"Action, Puzzle",90,,,,,,,,Action
Lost: Via Domus,2008.0,Action-adventure,48,5.3,5.87,6.5,5.82,,,,Action-adventure
Fallout: Brotherhood of Steel,2004.0,"Action, Role-playing",57,11.5,13.02,,12.43,,,,Action
Chronicle of Innsmouth,2017.0,"Point-and-Click, Adventure",70,4.03,,5.15,4.58,,,,Adventure
Loop Odyssey,2021.0,Strategy/Tactical,60,85.0,,100.93,96.95,,,,Strategy/Tactical
Yet Another World,2015.0,"Action, Adventure, Platform",0,,,,,,,,Adventure
Beside Myself,2021.0,"First-Person, Adventure",60,2.13,1.17,1.3,1.87,,,,Adventure
The Chessmaster,,Board Game,44,0.18,,,0.18,,,,Board Game
"SpongeBob SquarePants: Lights, Camera, Pants!",2005.0,Party,67,4.65,9.13,,5.28,,,,Party
Guide of the Butterfly,,,50,0.03,,0.03,0.03,,,,
Pole Position 2012,2012.0,Racing/Driving,0,,,,,,,,Racing/Driving
Emerald Dragon,,"Adventure, Role-Playing",63,17.37,17.18,14.67,16.83,,,,Adventure
Hentai MineSweeper,2018.0,Strategy,75,0.08,,0.13,0.12,,,,Strategy
Crisis on the Planet of the Apes,2018.0,Virtual Reality,60,1.98,,2.0,1.98,,,,Virtual Reality
Floppy Heroes,2016.0,Action,0,,,,,,,,Action
LootLite,2021.0,"Arcade, Roguelike",70,,4.0,,4.0,,,,Arcade
Where's My What?,2016.0,,20,4.0,,2.02,2.35,,,,
Invisible Apartment 2,2015.0,Visual Novel,63,1.2,1.47,1.07,1.3,,,,Visual Novel
Witch & Hero,2016.0,Action,90,,3.12,,3.12,,,,Action
Operation Zeta,2022.0,Action,0,,,,,,,,Action
Bad Day,2018.0,Action,60,,,1.05,1.05,,,,Action
Nintendo Labo - Robot Kit,2017.0,Interactive Art,63,5.6,22.5,2.52,8.67,,,,Interactive Art
Palinurus,2016.0,Visual Novel,70,1.0,3.0,2.25,1.82,,,,Visual Novel
CrazyCars3D,2016.0,"Platform, Racing",0,,,,,,,,Platform
A Case of the Crabs: Rehash,2020.0,"Point-and-Click, Adventure",0,,,,,,,,Adventure
Super Hipster Lumberjack,2015.0,,0,,,,,,,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002.0,Platform,59,4.93,5.77,8.05,5.68,,,,Platform
Projection: First Light,2020.0,"Side, Scrolling, Adventure, Platform",70,7.75,6.55,7.12,7.13,,,,Adventure
Gridrunner Revolution,2009.0,Shoot 'em Up,40,,,,,,,,Shoot 'em Up
I Am Weapon: Revival,2015.0,"Top-Down, Action",60,,6.55,,6.55,,,,Action
Candy Crush Soda Saga,2012.0,Puzzle,59,100.0,,,100.0,,,,Puzzle
Sniper Elite III - Save Churchill Part 1: In Shadows DLC,2014.0,"First-Person, Real-Time, Shooter",57,0.42,0.97,,0.83,,,,Shooter
The Adventures of Willy Beamish,,Adventure,62,4.78,,,4.78,,,,Adventure
Volantia: Kingdom in the Sky,2017.0,,55,2.4,2.95,3.0,2.68,,,,
Flix and Chill,2017.0,Simulation,42,1.58,,3.67,3.15,,,,Simulation
Dead End Aegis,2021.0,Visual Novel,0,,,53.0,53.0,,,,Visual Novel
Turbo Outrun,,Racing/Driving,51,0.47,,,0.47,,,,Racing/Driving
Sniper Elite III - Hunt the Grey Wolf DLC,2014.0,"First-Person, Real-Time, Shooter",64,0.6,1.08,1.17,0.82,,,,Shooter
Walt Disney's The Jungle Book: Rhythm N'Groove,2000.0,,45,1.0,,,1.0,,,,
Conversations With My Anxiety,2020.0,"Side, Point-and-Click, Visual Novel",0,0.17,,,0.17,,,,Point-and-Click
Burning Fight,1991.0,Beat em Up,52,0.73,,0.58,0.72,,,,Beat em Up
Zenonia,2009.0,Action RPG,68,18.12,21.25,88.65,28.57,,,,Action RPG
Aggressive Inline,2002.0,Sports,68,5.47,,30.0,8.97,,,,Sports
Russian Roulette: One Life,2023.0,,0,,,,,,,,
Blight: Survival,,,0,,,,,,,,
Hegemony Gold: Wars of Ancient Greece,2012.0,Strategy,0,,,,,,,,Strategy
Khan VS Kahn,2019.0,Strategy,60,,,1.9,1.9,,,,Strategy
Esports Life Tycoon,2020.0,Simulation,70,9.27,8.0,15.17,11.02,,,,Simulation
Football Manager 2019 Touch,2018.0,"Simulation, Sports",77,30.77,55.0,,36.82,,,,Simulation
Wind Peaks,2020.0,Hidden Object,65,1.2,,1.8,1.57,,,,Hidden Object
SWAT 4: The Stetchkov Syndicate,2006.0,"First-Person, Action, Shooter, Simulation, Strategy/Tactical",76,4.37,6.23,9.2,5.23,,,,Shooter
Kemono Friends Picross,2018.0,Puzzle,70,16.65,25.0,35.72,31.58,,,,Puzzle
The Turing Test - Upgrade Pack,2016.0,,0,,,,,,,,
Scarlet Hollow - Episode 3,2022.0,"Adventure, Horror, Visual Novel",0,1.57,,,1.57,,,,Horror
ALONE...,2014.0,Action,65,0.53,,,0.53,,,,Action
Touhou Chireiden: Subterranean Animism,2008.0,"Scrolling, Shooter",76,0.97,19.12,100.0,13.27,,,,Shooter
Knuckle Sandwich,,"Adventure, Role-Playing",0,,,,,,,,Adventure
All-Star Baseball 2000,,Sports,80,,,,,,,,Sports
Bright Paw,2020.0,Puzzle,30,3.22,3.82,4.02,3.42,,,,Puzzle
Equaboreal 12.21,,,10,0.1,,0.18,0.13,,,,
Mobile Legends: Bang Bang,,Battle Arena,66,400.75,,,400.75,,,,Battle Arena
Scarlet Hollow - Episode 2,2021.0,"Adventure, Horror, Visual Novel",0,1.88,,,1.88,,,,Horror
Distant Star: Revenant Fleet,2015.0,Strategy,85,,10.67,9.0,10.25,,,,Strategy
Shin Megami Tensei: Devil Children - Black Book,2000.0,"Turn-Based, Role-Playing",70,11.5,20.23,,17.32,,,,Turn-Based
Centauri Sector,2015.0,Strategy,0,,,,,,,,Strategy
Dark Quest,2015.0,"Turn-Based, Role-Playing, Strategy",50,2.72,4.28,4.0,3.67,,,,Turn-Based
The Lion King: Simba's Mighty Adventure,,Platform,56,1.18,2.4,2.0,1.55,,,,Platform
Shogo: Mobile Armor Division,1998.0,First-person shooter,68,7.17,7.23,10.67,7.63,,,,First-person shooter
Dragon: The Bruce Lee Story,,Fighting,54,0.97,1.17,3.5,1.23,0.17,0.17,0.17,Fighting
Breakdown,2004.0,"First-person, Adventure, Action",68,10.65,9.75,13.0,10.62,,,,Adventure
Super Alloy Ranger,2022.0,"Side, Scrolling, Action",60,1.98,,,1.98,,,,Action
Implosion: Never Lose Hope,,Action,65,7.28,12.33,20.0,9.35,,,,Action
Sniper Elite III - Save Churchill Part 3: Confrontation DLC,2014.0,"First-Person, Real-Time, Shooter",66,0.92,1.53,1.25,1.28,,,,Shooter
Dark Souls III: Cinders,2019.0,"Action, Role-Playing",0,23.77,23.0,,23.38,,,,Action
O-chan no Oekaki Logic,1995.0,Puzzle,65,,,34.42,34.42,,,,Puzzle
Hot Shot Burn,2020.0,,0,,,,,,,,
Jurassic Park (Sega CD),,"Point-and-Click, Adventure",77,4.95,11.0,10.03,8.5,,,,Adventure
Elisa: the Innkeeper,2017.0,Visual Novel,55,2.8,,7.37,5.08,,,,Visual Novel
Beauty Bounce,2017.0,,64,1.08,1.72,1.68,1.5,,,,
Robot Robert,2021.0,"Action, Platform",0,,,,,,,,Action
Sniper Elite III - Save Churchill Part 2: Belly of the Beast DLC,2014.0,"First-Person, Real-Time, Shooter",64,0.62,1.17,1.08,0.95,,,,Shooter
Rochard: Hard Times DLC,2013.0,"Action, Platform, Puzzle",74,1.93,1.93,1.2,1.75,,,,Action
Metal Revolution,,Action,0,,,,,,,,Action
Forgotten Lore,2016.0,Card Game,0,,,,,,,,Card Game
Scarlet Hollow - Episode 4,2022.0,"Adventure, Horror, Visual Novel",0,1.48,,,1.48,,,,Horror
7 Mages,2016.0,Role-Playing,30,,,,,,,,Role-Playing
Nancy Drew: The Final Scene,,Adventure,72,3.82,4.62,4.17,4.15,,,,Adventure
Gravity Snake,2021.0,Puzzle,0,,,0.4,0.4,,,,Puzzle
PixelJunk Eden 2,2020.0,Action,0,,,25.0,25.0,,,,Action
Kaiju Big Battel: Fighto Fantasy,2018.0,"Turn-Based, Role-Playing",80,,12.6,18.97,16.83,,,,Turn-Based
LSD: Dream Emulator,1998.0,"First-Person, Adventure",79,7.67,10.0,,8.33,,,,Adventure
Ground Control,2000.0,"Real-Time, Tactical",77,19.13,,45.52,25.73,,,,Real-Time
Fantasia,1991.0,Platform,44,2.02,,3.42,2.72,,,,Platform
Agent Armstrong,1997.0,"Action, Platform",0,,,,,,,,Action
SpelunKing: The Mine Match,2020.0,Puzzle,0,,,,,,,,Puzzle
Die Hard,,"Top-Down, Action",50,1.88,4.5,,2.25,,,,Action
Demon Front,,Action,74,1.08,,,1.08,,,,Action
Alchemia,2018.0,Puzzle,90,0.07,,,0.07,,,,Puzzle
Bakemonogatari Portable,2012.0,Visual Novel,80,,,9.47,9.47,,,,Visual Novel
The Bonfire: Forsaken Lands,2018.0,,80,4.08,4.1,12.0,6.07,,,,
The Thing With Mistletoes,2017.0,Visual Novel,60,0.42,2.78,0.35,0.85,,,,Visual Novel
Valhollian,1998.0,"Turn-Based, Role-Playing",60,21.15,24.77,,22.95,,,,Turn-Based
Svoboda 1945: Liberation,2021.0,Visual Novel,80,1.93,2.53,3.23,2.4,,,,Visual Novel
Forge and Fight,2020.0,Action,0,,,,,,,,Action
Runefall 2,2019.0,Puzzle,0,,,,,,,,Puzzle
Evasion,2018.0,"First-Person, Virtual Reality, Shooter",0,,,,,,,,Shooter
Wildlife Park 2: Horses,2007.0,Strategy,50,,,,,,,,Strategy
Make It Indie!,2014.0,Simulation,28,0.37,0.37,0.82,0.67,,,,Simulation
Cool Boarders,1996.0,"Arcade, Sports",62,5.92,,,5.92,,,,Arcade
Bionicle: The Game,2003.0,"Action, Adventure",51,3.68,3.18,6.45,3.9,,,,Adventure
Prison Boss VR,2017.0,"Virtual Reality, Adventure",50,3.0,6.0,9.0,6.0,,,,Adventure
Motion Explosion!,2011.0,Party,0,,,,,,,,Party
Prism Collider,2017.0,Strategy/Tactical,0,,,,,,,,Strategy/Tactical
Cubic,2017.0,Puzzle,60,,,0.65,0.65,,,,Puzzle
Babol the Walking Box,2021.0,Platform,0,,,,,,,,Platform
Super Soccer Blast,2020.0,"Arcade, Sports",0,4.0,,1.92,2.95,,,,Arcade
Doctor Hauzer,1994.0,"Action, Adventure",55,1.93,,,1.93,,,,Adventure
Phantasmal,2016.0,"Roguelike, Survival Horror",40,,,,,,,,Horror
Shuttle Rush,2013.0,"Action, Platform",0,,,,,,,,Action
Frayed Knights: The Skull of S'makh-Daon,,"First-Person, Turn-Based, Role-Playing",70,,,35.0,35.0,,,,Turn-Based
Exoplanet: First Contact,2016.0,"Third-Person, Action, Adventure, Open World, Role-Playing, Shooter, Survival",70,,,,,,,,Adventure
The Clue!,,Strategy,0,,,,,,,,Strategy
Relaxing VR Games: Mahjong,2017.0,Board Game,0,,,,,,,,Board Game
Eronoctosis: Put Yourself Together,2021.0,"Action, Adventure, Survival",67,,,,,,,,Adventure
It Steals,2020.0,"First-Person, Shooter",80,1.6,3.33,3.87,2.6,,,,Shooter
Serpent in the Staglands,2015.0,"Top-Down, Real-Time, Role-Playing",65,40.0,31.75,,34.5,,,,Top-Down
A Hand With Many Fingers,2020.0,,68,1.88,1.95,1.65,1.82,,,,
The Adventurer - Episode 1: Beginning of the End,2017.0,Role-Playing,20,,,,,,,,Role-Playing
Goat Simulator: Goat MMO Simulator,2014.0,Simulation,58,1.68,1.13,3.0,2.13,,,,Simulation
Trulon: The Shadow Engine,2016.0,Role-Playing,0,8.0,,,8.0,,,,Role-Playing
Cheesecake Cool Conrad,2014.0,,45,,5.57,,5.57,,,,
Escape from Life Inc,2020.0,"Platform, Puzzle",0,,,4.5,4.5,,,,Platform
Bubble Trouble,,"Top-Down, Shooter",0,,,,,,,,Shooter
Ground Control: Dark Conspiracy,2000.0,"Real-Time, Tactical",0,,,,,,,,Real-Time
Mage's Initiation: Reign of the Elements,2019.0,,60,9.33,,,9.33,,,,
Sunday Gold: Prologue,2022.0,"Turn-Based, Strategy/Tactical",0,,,,,,,,Turn-Based
Whizz,,"Action, Platform",0,,,,,,,,Action
Shadow Fight,,,60,10.0,,,10.0,,,,
Pictionary: Ultimate Edition,2011.0,Puzzle,50,4.0,5.0,9.0,6.75,,,,Puzzle
Peasant's Quest,2004.0,"Text, Adventure",0,,,,,,,,Adventure
Worms,2007.0,Strategy,69,2.62,5.6,5.5,4.7,,,,Strategy
Labyrinth,,Puzzle,60,,,,,,,,Puzzle
Heileen 2: The Hands of Fate,2009.0,Visual Novel,33,1.55,,4.5,2.53,,,,Visual Novel
Air Buster,,"Side, Scrolling, Shooter",61,1.02,,,1.02,,,,Shooter
Carly and the Reaperman - Escape from the Underworld,2018.0,"First-Person, Third-Person, Real-Time, Action, Adventure, Platform, Puzzle",50,,,,,,,,Adventure
DreamWorks Voltron VR Chronicles,2017.0,"Virtual Reality, Action, Adventure",70,0.9,,,0.9,,,,Adventure
The Legend of Zelda: Master of Time,2020.0,"Action, Adventure",90,,,,,,,,Adventure
Claws & Feathers,2014.0,Puzzle,0,,10.5,,10.5,,,,Puzzle
Nancy Drew: The Deadly Device,2012.0,"Point-and-Click, Adventure",68,7.67,10.0,13.37,9.95,,,,Adventure
Zeus: Master of Olympus,,"Strategy, Simulation",82,33.05,67.87,40.0,48.47,,,,Strategy
Globesweeper,2019.0,Puzzle,70,,96.85,43.6,75.55,,,,Puzzle
Brave Battle Saga - The Legend of The Magic Warrior,2019.0,"Top-Down, Turn-Based, Role-Playing",60,18.43,23.67,,20.18,,,,Top-Down
Palisade Guardian,,,0,,,,,,,,
Tennis no Ouji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,2010.0,Visual Novel,0,,,,,,,,Visual Novel
The Death | Thần Trùng,2022.0,"Adventure, Horror",75,1.7,,,1.7,,,,Horror
Sakura Hime 2,2022.0,Puzzle,0,,,,,,,,Puzzle
Dariusburst: Another Chronicle,2009.0,"Side, Scrolling, Arcade, Shooter",53,1.83,,,1.83,,,,Shooter
Aery: Broken Memories,2020.0,"Action, Adventure, Flight",40,1.62,,,1.62,,,,Adventure
Jellycar 2,2011.0,Platform,55,,,,,,,,Platform
Coded Arms: Contagion,2007.0,"First-Person, Shooter",53,9.75,,,9.75,,,,Shooter
NBA Live 08,2007.0,Sports,62,30.0,,,30.0,,,,Sports
Demonophobia,,"Horror, Survival",30,2.58,,,2.58,,,,Horror
Tiny Town VR,2017.0,"Virtual Reality, City-Building",0,,,,,,,,Virtual Reality
"Tennis no Ouji-Sama: Doubles no Ouji-Sama - Girls, Be Gracious!",2009.0,Visual Novel,0,,,,,,,,Visual Novel
A-Train PC Classic,2016.0,,0,,,,,,,,
Screeps: Arena,2022.0,"Real-Time, Simulation, Strategy/Tactical",0,,,,,,,,Real-Time
Sam & Max: This Time It's Virtual!,2021.0,"Virtual Reality, Adventure",60,4.45,,3.0,4.08,,,,Adventure
Worms Revolution Extreme,2013.0,"Turn-Based, Strategy",0,,,,,,,,Turn-Based
Zero Wing,,"Scrolling, Shooter",61,1.55,,3.5,1.72,,,,Shooter
Tomb Raider Starring Lara Croft,2000.0,"Side, Multidirectional, Action, Adventure, Platform, Puzzle",55,13.52,,12.58,13.33,,,,Adventure
Battle Realms: Winter of the Wolf,2002.0,"Real-Time, Strategy",80,7.0,,,7.0,,,,Real-Time
Ganryu,,Hack and Slash,73,0.95,,,0.95,,,,Hack and Slash
Disney's Mickey Saves The Day: 3D Adventure,2001.0,Educational,80,1.45,,,1.45,,,,Educational
Stairs,2013.0,Survival Horror,61,3.12,4.37,4.0,3.65,,,,Horror
Nancy Drew: The Silent Spy,2013.0,Adventure,75,7.5,8.23,8.75,8.15,,,,Adventure
Martian Gothic: Unification,2000.0,Survival Horror,65,8.82,,,8.82,,,,Horror
Pixel Hentai Mosaic,2018.0,Puzzle,30,,0.32,0.28,0.28,,,,Puzzle
The Pillars of the Earth - Book 3,,"Point-and-Click, Adventure",68,3.6,4.67,2.3,3.9,,,,Adventure
Sid Meier's Civilization VI - Vikings Scenario Pack,2016.0,,0,7.5,,,7.5,,,,
CyberTaxi,2020.0,"First-Person, Racing/Driving",50,4.0,,,4.0,,,,Racing/Driving
Touhou Bunkachou: Shoot the Bullet,2005.0,"Scrolling, Shooter",78,,14.5,,14.5,,,,Shooter
The Pillars of the Earth - Book 2,2017.0,"Point-and-Click, Adventure",70,5.62,6.7,5.4,6.18,,,,Adventure
Motherland,2021.0,"First-Person, Adventure",0,,,,,,,,Adventure
Demolition Company: Gold,2011.0,Simulation,0,5.5,,,5.5,,,,Simulation
Paperbound,2015.0,Action,0,,,,,,,,Action
Super Smash Bros. Ultimate - Challenger Pack 7: Steve & Alex,2020.0,"Fighting, Platform",84,0.43,0.4,0.58,0.47,,,,Platform
